model,split,mse,mae,r2,rmse
ab,0,3074.19578,44.79283,0.41164,55.44543
ab,1,3228.71088,47.8957,0.46237,56.82175
ab,2,3954.57156,50.89083,0.39727,62.88538
ann,0,28489.45494,152.53392,-4.4525,168.7882
ann,1,28923.76838,151.39741,-3.81627,170.06989
ann,2,29094.86776,150.12184,-3.43445,170.57218
cb,0,3474.80798,45.79165,0.33497,58.9475
cb,1,3329.71241,46.6225,0.44555,57.70366
cb,2,4346.58797,52.10959,0.33752,65.92866
dt,0,6551.16047,65.25338,-0.2538,80.93924
dt,1,7344.11224,67.91837,-0.22291,85.6978
dt,2,7178.82653,64.98639,-0.09415,84.72796
en,0,3222.74023,45.53467,0.38321,56.76918
en,1,3346.47949,49.09494,0.44276,57.84876
en,2,3500.2439,49.90401,0.46652,59.16286
knn,0,3787.18865,48.94595,0.27518,61.54014
knn,1,3212.42993,45.60272,0.46508,56.6783
knn,2,3435.07728,45.77279,0.47645,58.60953
lgbm,0,3530.67357,46.55569,0.32428,59.41947
lgbm,1,3079.98508,46.72668,0.48713,55.49761
lgbm,2,3991.8834,52.53655,0.39158,63.18135
lr,0,3244.53152,45.83038,0.37904,56.96079
lr,1,2995.21804,45.95149,0.50125,54.72859
lr,2,3076.74612,44.03889,0.53106,55.46842
rf,0,3531.31906,47.01277,0.32415,59.4249
rf,1,3090.38444,45.73646,0.4854,55.59123
rf,2,4209.67483,52.20571,0.35839,64.88201
svr,0,5292.68438,56.89557,-0.01295,72.75084
svr,1,5297.83693,61.51957,0.11782,72.78624
svr,2,5676.01626,64.05651,0.1349,75.33934
tabnet,0,3401.13147,47.33498,0.34907,58.31922
tabnet,1,3464.92384,48.84947,0.42303,58.8636
tabnet,2,4012.37646,54.48995,0.38846,63.34332
tabpfn,0,3399.53022,46.36024,0.34938,58.30549
tabpfn,1,2798.14461,43.69146,0.53406,52.89749
tabpfn,2,2973.73127,44.64154,0.54676,54.53193
xgb,0,4465.61238,51.68195,0.14534,66.82524
xgb,1,4030.16362,49.55186,0.32891,63.48357
xgb,2,4826.4955,54.68872,0.26438,69.47298
